City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,san ignacio rio muerto,27.4167,-110.2333,18.92,30,7,1.0,MX,1737219989
322,manokwari,-0.8667,134.0833,26.11,82,99,1.59,ID,1737219991
323,pine bluff,34.2284,-92.0032,10.96,67,100,5.66,US,1737219840
324,aoulef,26.9667,1.0833,16.1,18,0,1.26,DZ,1737219993
325,usinsk,65.9939,57.5281,-7.0,96,100,3.98,RU,1737219994
326,lospalos,-8.5186,127.0025,23.18,93,100,1.35,TL,1737219995
327,jeddah,21.5169,39.2192,25.92,69,0,4.12,SA,1737219996
328,wuhai,39.6647,106.8122,-3.81,43,27,1.81,CN,1737219998
329,vila velha,-20.3297,-40.2925,31.97,74,20,6.69,BR,1737219902
330,bengkulu,-3.8004,102.2655,25.29,86,100,1.74,ID,1737220000
331,bobrov,51.0961,40.0333,1.54,93,100,5.66,RU,1737220001
332,dryden,49.7833,-92.7503,-25.84,64,75,4.12,CA,1737219800
333,ta`u,-14.2336,-169.5144,27.12,77,6,2.23,AS,1737220003
334,meadow lake,34.8014,-106.5436,5.48,36,0,5.95,US,1737220004
335,mamuju,-2.6748,118.8885,26.61,86,99,0.63,ID,1737220005
336,motueka,-41.1333,173.0167,12.68,92,62,1.86,NZ,1737220007
337,lubang,13.8584,120.124,26.65,78,61,7.97,PH,1737220008
338,port elizabeth,-33.918,25.5701,22.4,90,0,2.24,ZA,1737220009
339,homer,59.6425,-151.5483,5.94,75,100,5.14,US,1737220010
340,portland,45.5234,-122.6762,2.25,95,100,2.68,US,1737219773
341,la cruz,23.9167,-106.9,23.01,39,29,2.23,MX,1737220013
342,ke-macina,13.9623,-5.3572,29.79,10,95,4.98,ML,1737220014
343,aasiaat,68.7098,-52.8699,-14.71,79,100,4.28,GL,1737219799
344,princeville,45.7668,-61.2985,-0.13,62,60,2.24,CA,1737220016
345,nadym,65.5333,72.5167,-12.74,95,100,4.09,RU,1737220018
346,tangalle,6.024,80.7911,23.98,95,100,5.35,LK,1737220019
347,sinabang,2.4803,96.3801,26.02,83,99,2.85,ID,1737220020
348,merritt,50.1123,-120.7942,-12.86,98,98,0.17,CA,1737220022
349,shiqian,27.5225,108.2281,7.32,78,7,0.93,CN,1737220023
350,brisas de zicatela,15.8369,-97.0419,28.29,69,0,2.06,MX,1737220024
351,liwonde,-15.0506,35.2035,25.55,80,99,1.89,MW,1737220025
352,chos malal,-37.3781,-70.2709,27.71,15,1,3.36,AR,1737220026
353,ouadda,8.0777,22.4007,29.94,20,65,2.19,CF,1737220027
354,divnomorskoye,44.5011,38.1353,4.83,77,100,3.18,RU,1737220028
355,al jubayl,27.0112,49.6583,17.18,52,42,5.13,SA,1737219764
356,barghat,22.0333,79.7167,16.73,41,1,3.35,IN,1737220031
357,isla vista,34.4133,-119.861,12.56,76,100,0.0,US,1737220032
358,de aar,-30.6497,24.0123,32.38,11,0,1.13,ZA,1737220033
359,aitape,-3.1374,142.3475,25.41,89,100,1.26,PG,1737220034
